Population	Treat	Gen	dose	Rep	L1_count	alive	dead	p_adults	stage
L3	Low	5	highdose	4	78	69	9	0.88	juv
H1	High	5	highdose	1	53	43	10	0.81	juv
H1	High	5	highdose	2	63	63	0	1	juv
H1	High	5	highdose	3	67	55	12	0.82	juv
H1	High	5	highdose	4	65	55	10	0.85	juv
H2	High	5	highdose	1	53	44	9	0.83	juv
H2	High	5	highdose	2	60	53	7	0.88	juv
H2	High	5	highdose	3	72	53	19	0.74	juv
H2	High	5	highdose	4	75	58	17	0.77	juv
H3	High	5	highdose	1	50	38	12	0.76	juv
H3	High	5	highdose	2	67	60	7	0.9	juv
H3	High	5	highdose	3	57	47	10	0.82	juv
H3	High	5	highdose	4	76	64	12	0.84	juv
RL1	RL	5	highdose	1	64	41	23	0.64	juv
RL1	RL	5	highdose	2	66	45	21	0.68	juv
RL1	RL	5	highdose	3	68	43	25	0.63	juv
RL1	RL	5	highdose	4	60	39	21	0.65	juv
RL2	RL	5	highdose	1	54	27	27	0.5	juv
RL2	RL	5	highdose	2	71	48	23	0.68	juv
RL2	RL	5	highdose	3	80	58	22	0.73	juv
RL2	RL	5	highdose	4	53	29	24	0.55	juv
RL3	RL	5	highdose	1	59	52	7	0.88	juv
RL3	RL	5	highdose	2	72	49	23	0.68	juv
RL3	RL	5	highdose	3	57	37	20	0.65	juv
RL3	RL	5	highdose	4	53	32	21	0.6	juv
RH1	RH	5	highdose	1	70	55	15	0.79	juv
RH1	RH	5	highdose	2	58	44	14	0.76	juv
RH1	RH	5	highdose	3	57	44	13	0.77	juv
RH1	RH	5	highdose	4	62	43	19	0.69	juv
RH2	RH	5	highdose	1	56	47	9	0.84	juv
RH2	RH	5	highdose	2	59	38	21	0.64	juv
RH2	RH	5	highdose	3	55	46	9	0.84	juv
RH2	RH	5	highdose	4	53	38	15	0.72	juv
RH3	RH	5	highdose	1	67	58	9	0.87	juv
RH3	RH	5	highdose	2	54	45	9	0.83	juv
RH3	RH	5	highdose	3	73	47	26	0.64	juv
RH3	RH	5	highdose	4	66	48	18	0.73	juv
Z1	Zero	10	highdose	1	58	29	29	0.5	juv
Z1	Zero	10	highdose	2	82	43	39	0.52	juv
Z1	Zero	10	highdose	3	60	41	19	0.68	juv
Z1	Zero	10	highdose	4	66	51	15	0.77	juv
Z2	Zero	10	highdose	1	52	33	19	0.63	juv
Z2	Zero	10	highdose	2	57	46	11	0.81	juv
Z2	Zero	10	highdose	3	60	48	12	0.8	juv
Z2	Zero	10	highdose	4	72	52	20	0.72	juv
Z3	Zero	10	highdose	1	145	94	51	0.65	juv
Z3	Zero	10	highdose	2	74	47	27	0.64	juv
Z3	Zero	10	highdose	3	66	43	23	0.65	juv
Z3	Zero	10	highdose	4	55	38	17	0.69	juv
Z4	Zero	10	highdose	1	108	55	53	0.51	juv
Z4	Zero	10	highdose	2	56	26	30	0.46	juv
Z4	Zero	10	highdose	3	61	35	26	0.57	juv
Z4	Zero	10	highdose	4	61	38	23	0.62	juv
Z5	Zero	10	highdose	1	50	35	15	0.7	juv
Z5	Zero	10	highdose	2	72	50	22	0.69	juv
Z5	Zero	10	highdose	3	53	30	23	0.57	juv
Z5	Zero	10	highdose	4	61	40	21	0.66	juv
Z6	Zero	10	highdose	1	68	46	22	0.68	juv
Z6	Zero	10	highdose	2	83	56	27	0.67	juv
Z6	Zero	10	highdose	3	61	45	16	0.74	juv
Z6	Zero	10	highdose	4	54	37	17	0.69	juv
L1	Low	10	highdose	1	60	34	26	0.57	juv
L1	Low	10	highdose	2	60	44	16	0.73	juv
L1	Low	10	highdose	3	58	42	16	0.72	juv
L1	Low	10	highdose	4	59	50	9	0.85	juv
L2	Low	10	highdose	1	53	28	25	0.53	juv
L2	Low	10	highdose	2	65	35	30	0.54	juv
L2	Low	10	highdose	3	51	38	13	0.75	juv
L2	Low	10	highdose	4	55	37	18	0.67	juv
L3	Low	10	highdose	1	59	38	21	0.64	juv
L3	Low	10	highdose	2	59	40	19	0.68	juv
L3	Low	10	highdose	3	52	43	9	0.83	juv
L3	Low	10	highdose	4	53	37	16	0.7	juv
H1	High	10	highdose	1	70	57	13	0.81	juv
H1	High	10	highdose	2	89	72	17	0.81	juv
H1	High	10	highdose	3	61	50	11	0.82	juv
H1	High	10	highdose	4	62	52	10	0.84	juv
H2	High	10	highdose	1	51	44	7	0.86	juv
H2	High	10	highdose	2	64	50	14	0.78	juv
H2	High	10	highdose	3	62	48	14	0.77	juv
H2	High	10	highdose	4	68	60	8	0.88	juv
H3	High	10	highdose	1	150	114	36	0.76	juv
H3	High	10	highdose	2	66	48	18	0.73	juv
H3	High	10	highdose	3	60	48	12	0.8	juv
H3	High	10	highdose	4	78	52	26	0.67	juv
RL1	RL	10	highdose	1	59	45	14	0.76	juv
RL1	RL	10	highdose	2	84	47	37	0.56	juv
RL1	RL	10	highdose	3	57	38	19	0.67	juv
RL1	RL	10	highdose	4	60	50	10	0.83	juv
RL2	RL	10	highdose	1	57	40	17	0.7	juv
RL2	RL	10	highdose	2	51	29	22	0.57	juv
RL2	RL	10	highdose	3	52	38	14	0.73	juv
RL2	RL	10	highdose	4	57	38	19	0.67	juv
RL3	RL	10	highdose	1	52	34	18	0.65	juv
RL3	RL	10	highdose	2	60	43	17	0.72	juv
RL3	RL	10	highdose	3	57	44	13	0.77	juv
RL3	RL	10	highdose	4	61	47	14	0.77	juv
RH1	RH	10	highdose	1	49	36	13	0.73	juv
RH1	RH	10	highdose	2	50	38	12	0.76	juv
RH1	RH	10	highdose	3	51	36	15	0.71	juv
RH1	RH	10	highdose	4	58	47	11	0.81	juv
RH2	RH	10	highdose	1	61	48	13	0.79	juv
RH2	RH	10	highdose	2	59	46	13	0.78	juv
RH2	RH	10	highdose	3	56	39	17	0.7	juv
RH2	RH	10	highdose	4	58	44	14	0.76	juv
RH3	RH	10	highdose	1	67	52	15	0.78	juv
RH3	RH	10	highdose	2	60	43	17	0.72	juv
RH3	RH	10	highdose	3	68	48	20	0.71	juv
RH3	RH	10	highdose	4	64	46	18	0.72	juv
A	Control	0	highdose	1	66	24	42	0.36	adult
A	Control	0	highdose	2	58	16	42	0.28	adult
A	Control	0	highdose	3	59	22	37	0.37	adult
A	Control	0	highdose	4	69	19	50	0.28	adult
Z1	Zero	5	highdose	1	56	20	36	0.36	adult
Z1	Zero	5	highdose	2	58	15	43	0.26	adult
Z1	Zero	5	highdose	3	54	22	32	0.41	adult
Z1	Zero	5	highdose	4	60	28	32	0.47	adult
Z2	Zero	5	highdose	1	52	21	31	0.4	adult
Z2	Zero	5	highdose	2	71	36	35	0.51	adult
Z2	Zero	5	highdose	3	60	25	35	0.42	adult
Z2	Zero	5	highdose	4	51	27	24	0.53	adult
Z3	Zero	5	highdose	1	54	25	29	0.46	adult
Z3	Zero	5	highdose	2	67	28	39	0.42	adult
Z3	Zero	5	highdose	3	60	31	29	0.52	adult
Z3	Zero	5	highdose	4	63	32	31	0.51	adult
Z4	Zero	5	highdose	1	57	18	39	0.32	adult
Z4	Zero	5	highdose	2	56	22	34	0.39	adult
Z4	Zero	5	highdose	3	56	28	28	0.5	adult
Z4	Zero	5	highdose	4	59	24	35	0.41	adult
Z5	Zero	5	highdose	1	57	24	33	0.42	adult
Z5	Zero	5	highdose	2	53	28	25	0.53	adult
Z5	Zero	5	highdose	3	68	30	38	0.44	adult
Z5	Zero	5	highdose	4	76	41	35	0.54	adult
Z6	Zero	5	highdose	1	71	33	38	0.46	adult
Z6	Zero	5	highdose	2	50	23	27	0.46	adult
Z6	Zero	5	highdose	3	59	33	26	0.56	adult
Z6	Zero	5	highdose	4	57	18	39	0.32	adult
L1	Low	5	highdose	1	57	23	34	0.4	adult
L1	Low	5	highdose	2	55	38	17	0.69	adult
L1	Low	5	highdose	3	65	42	23	0.65	adult
L1	Low	5	highdose	4	63	22	41	0.35	adult
L2	Low	5	highdose	1	51	19	32	0.37	adult
L2	Low	5	highdose	2	137	73	64	0.53	adult
L2	Low	5	highdose	3	68	25	43	0.37	adult
L2	Low	5	highdose	4	78	32	46	0.41	adult
L3	Low	5	highdose	1	60	26	34	0.43	adult
L3	Low	5	highdose	2	61	31	30	0.51	adult
L3	Low	5	highdose	3	69	43	26	0.62	adult
L3	Low	5	highdose	4	78	49	29	0.63	adult
H1	High	5	highdose	1	53	37	16	0.7	adult
H1	High	5	highdose	2	63	45	18	0.71	adult
H1	High	5	highdose	3	67	38	29	0.57	adult
H1	High	5	highdose	4	65	42	23	0.65	adult
H2	High	5	highdose	1	53	31	22	0.58	adult
H2	High	5	highdose	2	60	41	19	0.68	adult
H2	High	5	highdose	3	72	45	27	0.63	adult
H2	High	5	highdose	4	75	41	34	0.55	adult
H3	High	5	highdose	1	50	26	24	0.52	adult
H3	High	5	highdose	2	67	46	21	0.69	adult
H3	High	5	highdose	3	57	39	18	0.68	adult
H3	High	5	highdose	4	76	48	28	0.63	adult
RL1	RL	5	highdose	1	64	30	34	0.47	adult
RL1	RL	5	highdose	2	66	32	34	0.48	adult
RL1	RL	5	highdose	3	68	34	34	0.5	adult
RL1	RL	5	highdose	4	60	27	33	0.45	adult
RL2	RL	5	highdose	1	54	23	31	0.43	adult
RL2	RL	5	highdose	2	71	34	37	0.48	adult
RL2	RL	5	highdose	3	80	40	40	0.5	adult
RL2	RL	5	highdose	4	53	19	34	0.36	adult
RL3	RL	5	highdose	1	59	35	24	0.59	adult
RL3	RL	5	highdose	2	72	35	37	0.49	adult
RL3	RL	5	highdose	3	57	34	23	0.6	adult
RL3	RL	5	highdose	4	53	23	30	0.43	adult
RH1	RH	5	highdose	1	70	36	34	0.51	adult
RH1	RH	5	highdose	2	58	34	24	0.59	adult
RH1	RH	5	highdose	3	57	32	25	0.56	adult
RH1	RH	5	highdose	4	62	35	27	0.56	adult
RH2	RH	5	highdose	1	56	32	24	0.57	adult
RH2	RH	5	highdose	2	59	32	27	0.54	adult
RH2	RH	5	highdose	3	55	27	28	0.49	adult
RH2	RH	5	highdose	4	53	33	20	0.62	adult
RH3	RH	5	highdose	1	67	33	34	0.49	adult
RH3	RH	5	highdose	2	54	30	24	0.56	adult
RH3	RH	5	highdose	3	73	35	38	0.48	adult
RH3	RH	5	highdose	4	66	31	35	0.47	adult
Z1	Zero	10	highdose	1	58	18	40	0.31	adult
Z1	Zero	10	highdose	2	82	31	51	0.38	adult
Z1	Zero	10	highdose	3	60	32	28	0.53	adult
Z1	Zero	10	highdose	4	66	33	33	0.5	adult
Z2	Zero	10	highdose	1	52	22	30	0.42	adult
Z2	Zero	10	highdose	2	57	26	31	0.46	adult
Z2	Zero	10	highdose	3	60	34	26	0.57	adult
Z2	Zero	10	highdose	4	72	42	30	0.58	adult
Z3	Zero	10	highdose	1	145	72	73	0.5	adult
Z3	Zero	10	highdose	2	74	30	44	0.41	adult
Z3	Zero	10	highdose	3	66	37	29	0.56	adult
Z3	Zero	10	highdose	4	55	22	33	0.4	adult
Z4	Zero	10	highdose	1	108	30	78	0.28	adult
Z4	Zero	10	highdose	2	56	12	44	0.21	adult
Z4	Zero	10	highdose	3	61	31	30	0.51	adult
Z4	Zero	10	highdose	4	61	28	33	0.46	adult
Z5	Zero	10	highdose	1	50	23	27	0.46	adult
Z5	Zero	10	highdose	2	72	35	37	0.49	adult
Z5	Zero	10	highdose	3	53	23	30	0.43	adult
Z5	Zero	10	highdose	4	61	24	37	0.39	adult
Z6	Zero	10	highdose	1	68	23	45	0.34	adult
Z6	Zero	10	highdose	2	83	43	40	0.52	adult
Z6	Zero	10	highdose	3	61	39	22	0.64	adult
Z6	Zero	10	highdose	4	54	30	24	0.56	adult
L1	Low	10	highdose	1	60	19	41	0.32	adult
L1	Low	10	highdose	2	60	26	34	0.43	adult
L1	Low	10	highdose	3	58	28	30	0.48	adult
L1	Low	10	highdose	4	59	32	27	0.54	adult
L2	Low	10	highdose	1	53	15	38	0.28	adult
L2	Low	10	highdose	2	65	20	45	0.31	adult
L2	Low	10	highdose	3	51	31	20	0.61	adult
L2	Low	10	highdose	4	55	21	34	0.38	adult
L3	Low	10	highdose	1	59	23	36	0.39	adult
L3	Low	10	highdose	2	59	22	37	0.37	adult
L3	Low	10	highdose	3	52	38	14	0.73	adult
L3	Low	10	highdose	4	53	24	29	0.45	adult
H1	High	10	highdose	1	70	41	29	0.59	adult
H1	High	10	highdose	2	89	45	44	0.51	adult
H1	High	10	highdose	3	61	35	26	0.57	adult
H1	High	10	highdose	4	62	43	19	0.69	adult
H2	High	10	highdose	1	51	28	23	0.55	adult
H2	High	10	highdose	2	64	32	32	0.5	adult
H2	High	10	highdose	3	62	41	21	0.66	adult
H2	High	10	highdose	4	68	47	21	0.69	adult
H3	High	10	highdose	1	150	78	72	0.52	adult
H3	High	10	highdose	2	66	24	42	0.36	adult
H3	High	10	highdose	3	60	35	25	0.58	adult
H3	High	10	highdose	4	78	34	44	0.44	adult
RL1	RL	10	highdose	1	59	25	34	0.42	adult
RL1	RL	10	highdose	2	84	26	58	0.31	adult
RL1	RL	10	highdose	3	57	23	34	0.4	adult
RL1	RL	10	highdose	4	60	34	26	0.57	adult
RL2	RL	10	highdose	1	57	26	31	0.46	adult
RL2	RL	10	highdose	2	51	18	33	0.35	adult
RL2	RL	10	highdose	3	52	24	28	0.46	adult
RL2	RL	10	highdose	4	57	20	37	0.35	adult
RL3	RL	10	highdose	1	52	19	33	0.37	adult
RL3	RL	10	highdose	2	60	31	29	0.52	adult
RL3	RL	10	highdose	3	57	35	22	0.61	adult
RL3	RL	10	highdose	4	61	32	29	0.52	adult
RH1	RH	10	highdose	1	49	20	29	0.41	adult
RH1	RH	10	highdose	2	50	32	18	0.64	adult
RH1	RH	10	highdose	3	51	31	20	0.61	adult
RH1	RH	10	highdose	4	58	33	25	0.57	adult
RH2	RH	10	highdose	1	61	35	26	0.57	adult
RH2	RH	10	highdose	2	59	27	32	0.46	adult
RH2	RH	10	highdose	3	56	36	20	0.64	adult
RH2	RH	10	highdose	4	58	30	28	0.52	adult
RH3	RH	10	highdose	1	67	36	31	0.54	adult
RH3	RH	10	highdose	2	60	36	24	0.6	adult
RH3	RH	10	highdose	3	68	39	29	0.57	adult
RH3	RH	10	highdose	4	64	23	41	0.36	adult
A	Control	0	lowdose	1	50	41	9	0.82	juv
A	Control	0	lowdose	2	58	44	14	0.76	juv
A	Control	0	lowdose	3	62	51	11	0.82	juv
A	Control	0	lowdose	4	68	43	25	0.63	juv
Z1	Zero	5	lowdose	1	54	45	9	0.83	juv
Z1	Zero	5	lowdose	2	85	71	14	0.84	juv
Z1	Zero	5	lowdose	3	64	46	18	0.72	juv
Z1	Zero	5	lowdose	4	86	61	25	0.71	juv
Z2	Zero	5	lowdose	1	50	39	11	0.78	juv
Z2	Zero	5	lowdose	2	59	54	5	0.92	juv
Z2	Zero	5	lowdose	3	73	58	15	0.79	juv
Z2	Zero	5	lowdose	4	60	45	15	0.75	juv
Z3	Zero	5	lowdose	1	70	48	22	0.69	juv
Z3	Zero	5	lowdose	2	58	53	5	0.91	juv
Z3	Zero	5	lowdose	3	78	54	24	0.69	juv
Z3	Zero	5	lowdose	4	60	40	20	0.67	juv
Z4	Zero	5	lowdose	1	53	45	8	0.85	juv
Z4	Zero	5	lowdose	2	52	47	5	0.9	juv
Z4	Zero	5	lowdose	3	54	42	12	0.78	juv
Z4	Zero	5	lowdose	4	53	32	21	0.6	juv
Z5	Zero	5	lowdose	1	62	45	17	0.73	juv
Z5	Zero	5	lowdose	2	62	59	3	0.95	juv
Z5	Zero	5	lowdose	3	59	50	9	0.85	juv
Z5	Zero	5	lowdose	4	49	38	11	0.78	juv
Z6	Zero	5	lowdose	1	60	47	13	0.78	juv
Z6	Zero	5	lowdose	2	70	63	7	0.9	juv
Z6	Zero	5	lowdose	3	62	42	20	0.68	juv
Z6	Zero	5	lowdose	4	58	41	17	0.71	juv
L1	Low	5	lowdose	1	69	53	16	0.77	juv
L1	Low	5	lowdose	2	53	48	5	0.91	juv
L1	Low	5	lowdose	3	66	55	11	0.83	juv
L1	Low	5	lowdose	4	52	46	6	0.88	juv
L2	Low	5	lowdose	1	54	45	9	0.83	juv
L2	Low	5	lowdose	2	62	52	10	0.84	juv
L2	Low	5	lowdose	3	72	58	14	0.81	juv
L2	Low	5	lowdose	4	57	49	8	0.86	juv
L3	Low	5	lowdose	1	65	49	16	0.75	juv
L3	Low	5	lowdose	2	57	48	9	0.84	juv
L3	Low	5	lowdose	3	55	46	9	0.84	juv
L3	Low	5	lowdose	4	52	47	5	0.9	juv
H1	High	5	lowdose	1	61	52	9	0.85	juv
H1	High	5	lowdose	2	51	42	9	0.82	juv
H1	High	5	lowdose	3	50	34	16	0.68	juv
H1	High	5	lowdose	4	84	61	23	0.73	juv
H2	High	5	lowdose	1	59	58	1	0.98	juv
H2	High	5	lowdose	2	59	55	4	0.93	juv
H2	High	5	lowdose	3	53	43	10	0.81	juv
H2	High	5	lowdose	4	51	45	6	0.88	juv
H3	High	5	lowdose	1	55	48	7	0.87	juv
H3	High	5	lowdose	2	64	60	4	0.94	juv
H3	High	5	lowdose	3	64	55	9	0.86	juv
H3	High	5	lowdose	4	51	48	3	0.94	juv
RL1	RL	5	lowdose	1	51	49	2	0.96	juv
RL1	RL	5	lowdose	2	52	43	9	0.83	juv
RL1	RL	5	lowdose	3	63	56	7	0.89	juv
RL1	RL	5	lowdose	4	75	57	18	0.76	juv
RL2	RL	5	lowdose	1	71	59	12	0.83	juv
RL2	RL	5	lowdose	2	55	48	7	0.87	juv
RL2	RL	5	lowdose	3	94	71	23	0.76	juv
RL2	RL	5	lowdose	4	112	90	22	0.8	juv
RL3	RL	5	lowdose	1	93	80	13	0.86	juv
RL3	RL	5	lowdose	2	93	86	7	0.92	juv
RL3	RL	5	lowdose	3	69	57	12	0.83	juv
RL3	RL	5	lowdose	4	49	39	10	0.8	juv
RH1	RH	5	lowdose	1	66	55	11	0.83	juv
RH1	RH	5	lowdose	2	57	55	2	0.96	juv
RH1	RH	5	lowdose	3	56	48	8	0.86	juv
RH1	RH	5	lowdose	4	50	41	9	0.82	juv
RH2	RH	5	lowdose	1	65	56	9	0.86	juv
RH2	RH	5	lowdose	2	51	44	7	0.86	juv
RH2	RH	5	lowdose	3	63	40	23	0.63	juv
RH2	RH	5	lowdose	4	60	53	7	0.88	juv
RH3	RH	5	lowdose	1	70	53	17	0.76	juv
RH3	RH	5	lowdose	2	78	68	10	0.87	juv
RH3	RH	5	lowdose	3	52	40	12	0.77	juv
RH3	RH	5	lowdose	4	57	48	9	0.84	juv
Z1	Zero	10	lowdose	1	59	46	13	0.78	juv
Z1	Zero	10	lowdose	2	85	53	32	0.62	juv
Z1	Zero	10	lowdose	3	142	102	40	0.72	juv
Z1	Zero	10	lowdose	4	62	41	21	0.66	juv
Z2	Zero	10	lowdose	1	65	54	11	0.83	juv
Z2	Zero	10	lowdose	2	57	54	3	0.95	juv
Z2	Zero	10	lowdose	3	61	47	14	0.77	juv
Z2	Zero	10	lowdose	4	49	36	13	0.73	juv
Z3	Zero	10	lowdose	1	51	43	8	0.84	juv
Z3	Zero	10	lowdose	2	57	49	8	0.86	juv
Z3	Zero	10	lowdose	3	94	76	18	0.81	juv
Z3	Zero	10	lowdose	4	53	45	8	0.85	juv
Z4	Zero	10	lowdose	1	127	86	41	0.68	juv
Z4	Zero	10	lowdose	2	73	59	14	0.81	juv
Z4	Zero	10	lowdose	3	68	55	13	0.81	juv
Z4	Zero	10	lowdose	4	54	41	13	0.76	juv
Z5	Zero	10	lowdose	1	105	86	19	0.82	juv
Z5	Zero	10	lowdose	2	53	45	8	0.85	juv
Z5	Zero	10	lowdose	3	60	44	16	0.73	juv
Z5	Zero	10	lowdose	4	74	50	24	0.68	juv
Z6	Zero	10	lowdose	1	79	58	21	0.73	juv
Z6	Zero	10	lowdose	2	76	55	21	0.72	juv
Z6	Zero	10	lowdose	3	60	50	10	0.83	juv
Z6	Zero	10	lowdose	4	74	63	11	0.85	juv
L1	Low	10	lowdose	1	53	52	1	0.98	juv
L1	Low	10	lowdose	2	57	49	8	0.86	juv
L1	Low	10	lowdose	3	73	59	14	0.81	juv
L1	Low	10	lowdose	4	59	45	14	0.76	juv
L2	Low	10	lowdose	1	54	42	12	0.78	juv
L2	Low	10	lowdose	2	49	46	3	0.94	juv
L2	Low	10	lowdose	3	63	44	19	0.7	juv
L2	Low	10	lowdose	4	50	34	16	0.68	juv
L3	Low	10	lowdose	1	68	54	14	0.79	juv
L3	Low	10	lowdose	2	54	46	8	0.85	juv
L3	Low	10	lowdose	3	68	57	11	0.84	juv
L3	Low	10	lowdose	4	60	51	9	0.85	juv
H1	High	10	lowdose	1	67	60	7	0.9	juv
H1	High	10	lowdose	2	53	47	6	0.89	juv
H1	High	10	lowdose	3	72	69	3	0.96	juv
H1	High	10	lowdose	4	82	73	9	0.89	juv
H2	High	10	lowdose	1	58	57	1	0.98	juv
H2	High	10	lowdose	2	55	51	4	0.93	juv
H2	High	10	lowdose	3	76	66	10	0.87	juv
H2	High	10	lowdose	4	66	60	6	0.91	juv
H3	High	10	lowdose	1	73	55	18	0.75	juv
H3	High	10	lowdose	2	52	48	4	0.92	juv
H3	High	10	lowdose	3	73	63	10	0.86	juv
H3	High	10	lowdose	4	83	73	10	0.88	juv
RL1	RL	10	lowdose	1	61	53	8	0.87	juv
RL1	RL	10	lowdose	2	48	43	5	0.9	juv
RL1	RL	10	lowdose	3	71	59	12	0.83	juv
RL1	RL	10	lowdose	4	60	50	10	0.83	juv
RL2	RL	10	lowdose	1	53	37	16	0.7	juv
RL2	RL	10	lowdose	2	53	40	13	0.75	juv
RL2	RL	10	lowdose	3	91	74	17	0.81	juv
RL2	RL	10	lowdose	4	52	40	12	0.77	juv
RL3	RL	10	lowdose	1	60	51	9	0.85	juv
RL3	RL	10	lowdose	2	52	41	11	0.79	juv
RL3	RL	10	lowdose	3	55	41	14	0.75	juv
RL3	RL	10	lowdose	4	61	47	14	0.77	juv
RH1	RH	10	lowdose	1	53	46	7	0.87	juv
RH1	RH	10	lowdose	2	51	44	7	0.86	juv
RH1	RH	10	lowdose	3	91	67	24	0.74	juv
RH1	RH	10	lowdose	4	50	35	15	0.7	juv
RH2	RH	10	lowdose	1	54	45	9	0.83	juv
RH2	RH	10	lowdose	2	57	43	14	0.75	juv
RH2	RH	10	lowdose	3	78	59	19	0.76	juv
RH2	RH	10	lowdose	4	51	43	8	0.84	juv
RH3	RH	10	lowdose	1	51	45	6	0.88	juv
RH3	RH	10	lowdose	2	52	47	5	0.9	juv
RH3	RH	10	lowdose	3	54	36	18	0.67	juv
RH3	RH	10	lowdose	4	54	44	10	0.81	juv
A	Control	0	lowdose	1	50	32	18	0.64	adult
A	Control	0	lowdose	2	58	38	20	0.66	adult
A	Control	0	lowdose	3	62	34	28	0.55	adult
A	Control	0	lowdose	4	68	41	27	0.6	adult
Z1	Zero	5	lowdose	1	54	30	24	0.56	adult
Z1	Zero	5	lowdose	2	85	66	19	0.78	adult
Z1	Zero	5	lowdose	3	64	35	29	0.55	adult
Z1	Zero	5	lowdose	4	86	53	33	0.62	adult
Z2	Zero	5	lowdose	1	50	32	18	0.64	adult
Z2	Zero	5	lowdose	2	59	43	16	0.73	adult
Z2	Zero	5	lowdose	3	73	45	28	0.62	adult
Z2	Zero	5	lowdose	4	60	37	23	0.62	adult
Z3	Zero	5	lowdose	1	70	40	30	0.57	adult
Z3	Zero	5	lowdose	2	58	41	17	0.71	adult
Z3	Zero	5	lowdose	3	78	40	38	0.51	adult
Z3	Zero	5	lowdose	4	60	37	23	0.62	adult
Z4	Zero	5	lowdose	1	53	34	19	0.64	adult
Z4	Zero	5	lowdose	2	52	33	19	0.63	adult
Z4	Zero	5	lowdose	3	54	32	22	0.59	adult
Z4	Zero	5	lowdose	4	53	29	24	0.55	adult
Z5	Zero	5	lowdose	1	62	38	24	0.61	adult
Z5	Zero	5	lowdose	2	62	38	24	0.61	adult
Z5	Zero	5	lowdose	3	59	40	19	0.68	adult
Z5	Zero	5	lowdose	4	49	31	18	0.63	adult
Z6	Zero	5	lowdose	1	60	32	28	0.53	adult
Z6	Zero	5	lowdose	2	70	47	23	0.67	adult
Z6	Zero	5	lowdose	3	62	31	31	0.5	adult
Z6	Zero	5	lowdose	4	58	29	29	0.5	adult
L1	Low	5	lowdose	1	69	41	28	0.59	adult
L1	Low	5	lowdose	2	53	48	5	0.91	adult
L1	Low	5	lowdose	3	66	39	27	0.59	adult
L1	Low	5	lowdose	4	52	33	19	0.63	adult
L2	Low	5	lowdose	1	54	39	15	0.72	adult
L2	Low	5	lowdose	2	62	39	23	0.63	adult
L2	Low	5	lowdose	3	72	42	30	0.58	adult
L2	Low	5	lowdose	4	57	41	16	0.72	adult
L3	Low	5	lowdose	1	65	40	25	0.62	adult
L3	Low	5	lowdose	2	57	31	26	0.54	adult
L3	Low	5	lowdose	3	55	32	23	0.58	adult
L3	Low	5	lowdose	4	52	36	16	0.69	adult
H1	High	5	lowdose	1	61	46	15	0.75	adult
H1	High	5	lowdose	2	51	34	17	0.67	adult
H1	High	5	lowdose	3	50	29	21	0.58	adult
H1	High	5	lowdose	4	84	54	30	0.64	adult
H2	High	5	lowdose	1	59	48	11	0.81	adult
H2	High	5	lowdose	2	59	48	11	0.81	adult
H2	High	5	lowdose	3	53	31	22	0.58	adult
H2	High	5	lowdose	4	51	32	19	0.63	adult
H3	High	5	lowdose	1	55	40	15	0.73	adult
H3	High	5	lowdose	2	64	47	17	0.73	adult
